Table V2023R1,V9.0 (P12),V11 (P22),Abbreviation,Description,Module,Activity code
FRTCOMCOD,,,FCC,Freight commodity code,Common Data,
FUP,Modification,,FUP,Reminders conducted,A/P-A/R accounting,FUP
FUPGRP,Modification,,FGP,Reminder groups,A/P-A/R accounting,FUP
FUPTXT,,,FPT,Reminder texts,A/P-A/R accounting,FUP
FXBLOB,,,FBB,Special folders,Fixed Assets,
FXDASSETS,Modification,Modification,FAS,Assets,Fixed Assets,
FXDLIFL,,,FLU,Track funds,Fixed Assets,
FXDLOFGRP,,,LFG,Grouping of expenses,Fixed Assets,
FXDMVT,Modification,,FXM,Movement import - Header,Fixed Assets,
FXDMVTD,,,FXD,Movement import - Detail,Fixed Assets,
GACCAUZ,,,GCA,Compatible accounts,Common Data,KRU
GACCCLS,,,CLS,Account classes,Common Data,
GACCCODE,,,CAC,Accounting codes,Common Data,
GACCCODLIG,Modification,,CCL,Accounting code lines,Common Data,
GACCDEF,,,GCF,Default accounts,Common Data,
GACCDENCOD,,,CDA,Payment attribute,A/P-A/R accounting,
GACCDIM,,,GCD,Default dimension types,Common Data,
GACCDUDATE,Modification,Modification,DUD,Open items,Common Data,
GACCENTRY,Modification,Modification,HAE,Accounting entries,Financials,
GACCENTRYA,,,DAA,Analytical accounting line,Financials,
GACCENTRYD,Modification,Modification,DAE,Accounting entry lines,Financials,
GACCFIX,Modification,Modification,GAF,Recurring entries,Financials,
GACCFIYENA,,,FYA,C/fwd. temporary file,Financials,
GACCFIYEND,,,FYD,C/fwd. temporary file,Financials,
GACCGRUPYM,,,GRY,Account groups,Common Data,
GACCINTCPY,,,GIC,Intercompany journal entry,Financials,INTCO
GACCINTCPYA,,,GIA,Intercompany journal ana lines,Financials,INTCO
GACCINTCPYD,,,GID,Intercompany journal ent lines,Financials,INTCO
GACCOUNT,Modification,Modification,GAC,Accounts,Common Data,
GACCOUNTA,New table,,GAA,Accounts (additional table),Common Data,
GACCPYM,,,GYM,Account pyramids,Common Data,
GACCPYMLIK,Modification,Modification,GYK,Account pyramid links,Common Data,
GACCPYMPRT,Modification,Modification,GYP,Print pyramids,Common Data,
GACCTMP,Modification,Modification,HAT,Accounting entries,Common Data,
GACCTMPA,,,AAT,Analytical accounting line,Common Data,
GACCTMPD,Modification,Modification,DAT,Accounting entry lines,Common Data,
GACM,,,GCM,Account core model,Common Data,
GAJOUSTA,,,JST,Journals - reports per period,Financials,
GAPARBSE,Modification,Modification,PBS,Default reporting codes,Common Data,
GAPARDUM,,,PDM,Account balance transfer,Financials,
GAUTACE,,,GAU,Automatic journals,Common Data,
GAUTACED,,,GAD,Automatic journals (lines),Common Data,
GAUTACEF,,,GAG,Automatic journal formulas,Common Data,
GAUTACEL,New table,New table,GALEG,Automatic journal legislation,Common Data,
GAUTRCTMP,,,GTT,Temporary traceability table,Common Data,
GAUTRCVCR,Modification,,GAT,Automatic journal traceability,Common Data,
GBAGSCR,,,GBS,Aged balance screen,Financials,
GCACCOA,,,GCO,Acct. code entry transactions,Common Data,
GCCEGRUPYM,,,CRY,Group pyramid analysis,Common Data,
GCCEPYM,,,CYM,Dimension pyramids,Common Data,
GCCEPYMLIK,Modification,Modification,CYK,Dimension pyramid links,Common Data,
GCCEPYMPRT,Modification,Modification,CYP,Print pyramids,Common Data,
GCLCACEPAR,,,CLC,Calculated journal entries,Financials,
GCOA,,,COA,Chart of accounts,Common Data,
GCOMMIT,,,CMM,Commitments,Financials,
GCOMMITD,,,CMD,Commitment details,Financials,
GCOMMITX,,,CMX,Commitments (ref),Financials,
GDIAACC,,,GDA,Account scheme header,Financials,
GDIAACCD,,,GDC,Account scheme lines,Financials,
GDIAENTRY,,,GDE,Entry transactions,Financials,
GDIAENTRYD,,,GDD,Journal entry transactions,Financials,
GDIE,Modification,,DIE,Dimension types,Common Data,
GDPDUDUD,,,GDPDUD,Open items,Common Data,KDE
GDUDSCR,,,GDS,Open item screens,A/P-A/R accounting,
GENTLOT,,,LOT,Accounting journal batches,Financials,
GENTLOTA,,,LOA,Analytical batch entry lines,Financials,
GENTLOTD,,,LOD,General batch entry lines,Financials,
GENTLOTH,,,LOH,Batch entry header,Financials,
GFSATT,New table,New table,GFSATT,Attribute,Manufacturing,GFSA
GFSATTVAL,New table,New table,GFSATTV,Attribute value,Manufacturing,GFSA
GFSCALEXP,New table,New table,GFSCEP,Calendar exception,Manufacturing,
GFSCUSFLDS,New table,New table,GFSCF,Custom fields,Manufacturing,
GFSCUSVALS,New table,New table,GFSCV,Custom values,Manufacturing,
GFSITFATTV,New table,New table,GFSIAV,Product-site attribute,Common Data,GFSA
GFSITMATT,New table,New table,GFSIA,Product attribute,Common Data,GFSA
GFSMRK,New table,New table,GFSMRK,Marker,Manufacturing,
GFSOBJ,New table,New table,GFSOBJ,Objects,Manufacturing,
GFSOPTLIN,New table,New table,GFSOL,Optimization matrix lines,Manufacturing,GFSA
GFSOPTMAT,New table,New table,GFSOM,Optimization matrix,Manufacturing,GFSA
GFSPIN,New table,New table,GFSPIN,Operation pin type,Manufacturing,
GFSSETEXC,New table,New table,GFSSTE,Setup time exceptions,Manufacturing,GFSA
GFSSETTIM,New table,New table,GFSST,Setup time matrix,Manufacturing,GFSA
GFSTAG,New table,New table,GFSTAG,Tag,Manufacturing,
GFUPSCR,,,GFP,Reminders screen,A/P-A/R accounting,FUP
GGRILLE,New table,,RIL,Entry grid,Human Resources administration,
GJOUCOA,,,JCO,Journals - Chart of accounts,Financials,
GJOURNAL,Modification,,JOU,Journal codes,Financials,
GLCONSO,,,GLC,Consolidation ledger,Financials,CSL
GLED,Modification,,LED,Ledger,Common Data,
GRANTS,,,GRT,Subsidies,Fixed Assets,GRT
GRILLE,New table,,GRI,Entry grid,Human Resources administration,
GRPACEMTC,,,GRM,Matching group entries,Common Data,
GRPAUTACE,,,GRA,Automatic journal group,Common Data,
GRPCPC,New table,,GCP,Group of skills,Common Data,FHRPA
GRPCPCD,New table,,HRGCD,Skill set detail,Common Data,FHRPA
GRPCUR,,,GCU,Currency groups,Financials,
GRPDSP,,,GSP,Distribution groups,Financials,
GRPSAC,,,GSC,Control groups,Financials,
GSTDTL,New table,,GDL,GST detail,Financials,KAU
GSTGRP,New table,,GSTGH,GST group header,Financials,KAU
GSTGRPD,New table,,GSTGD,GST group details,Financials,KAU
GSTHDR,New table,,GHR,GST header,Financials,KAU
GSTPER,New table,,GSTPH,GST reporting period header,Financials,KAU
GSTPERD,New table,,GSTPD,GST reporting period details,Financials,KAU
GTABACC,,,GTC,Inquiry screens,Supervisor,
GTABACC2,Modification,Modification,GT2,Account inquiries,Common Data,
GTABACC3,,,GTC3,Balance graph,Financials,
GTEGRP,New table,New table,GTEGH,Entry type groups,Financials,DCL
GTEGRPD,New table,New table,GTEGD,Entry type groups,Financials,DCL
GTMPMTC,,,GMT,Temporary matching table,Financials,
GTYPACCENT,,,GTE,Document types,Common Data,
GVARCODPAR,,,GVA,Parameters of variables,Common Data,
GVARGAU,,,GVG,Automatic journal variables,Common Data,
GVARPARGAU,,,GVP,Variables parameters,Common Data,
GVARPARVAL,,,GVV,Parameter values,Common Data,
HABCODPOR,New table,New table,HRHAB,Habilitation code,Common Data,FPAPH
HANDLING,Modification,Modification,HSH,Stock process instruction,Manufacturing,MWM
HANDLINGR,Modification,Modification,HSR,Container instruction,Manufacturing,MWM
HD1CLOB,,,HD1,Service reqts text files,Common Data,
HD2CLOB,,,HD2,Actions text files,Common Data,
HD3CLOB,,,HD3,Solutions text files,Common Data,
HD4CLOB,,,HD4,Commerl reports text files,Common Data,
HD5CLOB,,,HD5,Marketing text files,Common Data,
HD6CLOB,,,HD6,CRM mini text files,Common Data,
HD7CLOB,,,HD7,Aft-ss srv cons txt files,Common Data,
HD8CLOB,,,HD8,Clobs lead,CRM activities,
HDKTASK,,,HDT,After-sales serv. consumption,Help Desk,
HDKTASKINV,,,HDI,Consumptions to be invoiced,Help Desk,
HDKTRS,,Modification,HTR,HDK entry transaction,Help Desk,
HDKTRSVAL,,,HTV,HDK value entry transaction,Help Desk,
HISCTR,New table,New table,HISC,History,Human Resources administration,HISCT
HISPARMVT,New table,,HPM,Movement history,Human Resources administration,PAR
HISPOA,New table,,HIP,Prepayment history,Human Resources administration,
HISTAXSPA,,,HTS,Tax extraction history,Financials,KSP
HISTOAMD,Modification,Modification,HAM,Amendment history,Financials,SDD
HISTOCRM,,,HST,History,Common Data,
HISTOCTX,New table,Modification,HIC,Archive context,Human Resources administration,HIC
HISTODUD,,,HDU,Open item archive,A/P-A/R accounting,HDU
HISTOMDT,Modification,Modification,HMDT,Payments made,Common Data,SDD
HISTOOMM,,,HIM,Mailing history,Common Data,
HISTOPAYE,New table,Modification,HSP,Payroll history,Human Resources administration,
HISTOREGUL,New table,Modification,HRHSR,Payroll history,Human Resources administration,
HLYDAY,New table,New table,HLY,Public holidays,Common Data,FHRPA
HON281,Modification,Modification,HHO,281.5 fees (Belgium),Financials,BE281
HON281D,,,DHO,281.5 fees details,Financials,BE281
HONLIN,,,HLN,Fee lines,Financials,DAS
HONPRV,Modification,Modification,PRV,Service suppliers,Financials,FEE2
HOROITM,,,HOI,Time stamped articles,Common Data,
HRAEDETAIL,New table,New table,HRAED,Attachable earnings detail,Human Resources administration,KUK
HRAEHEADER,New table,New table,HRAEH,Attachable earnings header,Human Resources administration,KUK
HRAESUSPEND,New table,New table,HRAES,Attachable earnings suspension,Human Resources administration,KUK
HRAFRCLASS,New table,New table,HRAFRCL,African contr. classification,Common Data,FKSQS
HRAFRCLSOLD,New table,New table,HRCLSO,African contr. classification,Common Data,FKSQS
HRATTEARRAT,New table,New table,HRAER,AE deduction rate,Human Resources administration,KUK
HRATTEARTYP,New table,New table,HRAET,Attachable earnings types,Human Resources administration,KUK
HRCATACTION,New table,New table,HRCAN,Action category,Common Data,FHRPA
HRCATCSP,New table,,HRCSP,Socio-professional category,Common Data,FHRPA
HRCLLCVT,New table,Modification,HRCLV,Collective agreement,Common Data,FHRPA
HRCOMPANYAFR,New table,Modification,CPYAFR,Company,Common Data,KAFR
HRCOMPANYAUS,New table,New table,CPYAUS,Company,Common Data,FAUPH
HRCOMPANYKSA,New table,Modification,CPYKSA,Company,Common Data,FZAPH
HRCOMPANYMID,New table,New table,CPYMID,Company,Common Data,KMIEA
HRCOMPANYNA,New table,New table,CPYNA,NA legal data,Common Data,FNAPH
HRCOMPANYPO,New table,Modification,CPYPO,Company,Common Data,FPOPH
HRCOMPANYUKI,New table,New table,CPYUKI,UK legal data,Common Data,FUKPH
HRCPYREC,New table,New table,CPYREC,Company reconciliation report,Common Data,
HRCPYRECPAY,New table,New table,CPYRECP,Company reconciliation report,Common Data,
HRCPYRECPM,New table,New table,CPYRECM,Company reconciliation report,Common Data,
HRCPYRECTERM,New table,New table,CPYRECT,Company reconciliation report,Common Data,
HRCPYUKALL,New table,New table,CUAL,Company allowance,Common Data,KUK
HRCPYUKCAR,New table,New table,CUCA,Cars / fuel benefits,Common Data,FUKPH
HRCTRDOC,New table,Modification,HRDOC,Documents to generate,Common Data,FHRPA
HRCTRGRD,New table,,HRCGD,Arrival reason,Common Data,FHRPA
HRDCOMMIT,New table,New table,HRDCM,Committee members,Human Resources administration,DCP
HRDECEXO,New table,New table,HRDEXO,Exemption declaration,Human Resources administration,KMA
HRDESCTRCOD,New table,New table,HRDTD,Contribution contract description,Human Resources administration,KFR
HRDESCTRCOT,New table,New table,HRDTC,Contribution contract description,Human Resources administration,KFR
HRDRECOUR,New table,New table,HRDRR,Appeal,Human Resources administration,DCP
HRDSANCHEAD,New table,New table,HRDSNH,Sanction header,Human Resources administration,DCP
HRDSANCTRANS,New table,New table,HRDST,Sanction transgression,Human Resources administration,DCP
HRDSANCWITN,New table,New table,HRDSW,Sanction witness,Human Resources administration,DCP
HRDSCFCY,New table,New table,HRCFY,DSN site declaration,Human Resources administration,KFR
HRDSCFCY2,New table,New table,HRCFP,DSN site welfare,Human Resources administration,KFR
HRDSCFCY3,New table,New table,HRCFV,DSN site payments,Human Resources administration,KFR
HRDSCFCY4,New table,New table,HRCFH,DSN site contributions,Human Resources administration,KFR
HRDSCFCY5,New table,New table,HRCFD,DSN site detail contributions,Human Resources administration,KFR
HRDSCFCY6,New table,New table,HRCDF,Site contributions,Human Resources administration,KFR
HRDSCFCY7,New table,New table,HRCDD,Site contribution detail,Human Resources administration,KFR
HRDSCFCY8,New table,New table,HRCFC,DSN site components,Human Resources administration,KFR
HRDSFFCY,New table,New table,HRFFY,DSN site fiscal,Human Resources administration,KFR
HRDSFFCY2,New table,New table,HRFFP,DSN site fiscal,Human Resources administration,KFR
HRDSFFCY3,New table,New table,HRFFA,DSN site fiscal,Human Resources administration,KFR
HRDSNAMT,New table,New table,HRDCV,DSN payments contract end,Human Resources administration,KFR
HRDSNAMT1,New table,New table,HRDCA,DSN remunerations contract end,Human Resources administration,KFR
HRDSNAMT2,New table,New table,HRDCD,DSN allowances contract end,Human Resources administration,KFR
HRDSNAMT3,New table,New table,HRDCU,DSN activities contract end,Human Resources administration,KFR
HRDSNAMT4,New table,New table,HRDCB,Contract end DSN gross income,Human Resources administration,KFR
HRDSNAYD,New table,New table,HRDAD,DSN beneficiaries,Human Resources administration,KFR
HRDSNAYD2,New table,New table,HRDAF,DSN welfare beneficiaries,Human Resources administration,KFR
HRDSNBNF,New table,New table,HRBNF,DSN beneficiaries,Human Resources administration,KFR
HRDSNBNFORA,New table,New table,HRBNO,DSN welfare beneficiaries,Human Resources administration,KFR
HRDSNCPY,New table,New table,HRDCP,DSN companies,Human Resources administration,KFR
HRDSNCPYCNT,New table,New table,HRCCN,DSN companies - Contacts,Human Resources administration,KFR
HRDSNCPYVLU,New table,New table,HRCPV,DSN companies,Human Resources administration,KFR
HRDSNCTR,New table,New table,HRDCC,Contr. end DSN contract data,Human Resources administration,KFR
HRDSNDMC,New table,New table,HRDMC,Monthly DSN contracts,Human Resources administration,KFR
HRDSNDMC1,New table,New table,HRDMO,Monthly DSN/former contract,Human Resources administration,KFR
HRDSNDMC2,New table,New table,HRDSS,Monthly DSN/contract susp,Human Resources administration,KFR
HRDSNDMC3,New table,New table,HRDMR,Monthly DSN welfare history,Human Resources administration,KFR
HRDSNDMT,New table,New table,HRDMT,Monthly DSN contributions,Human Resources administration,KFR
HRDSNDMT1,New table,New table,HRDMJ,Monthly DSN contributions,Human Resources administration,KFR
HRDSNDMT2,New table,New table,HRDMI,Monthly DSN contributions,Human Resources administration,KFR
HRDSNDMT3,New table,New table,HRDMK,Monthly DSN contributions,Human Resources administration,KFR
HRDSNDMT4,New table,New table,HRDME,Monthly DSN contributions,Human Resources administration,KFR
HRDSNDMT5,New table,New table,HRDML,Monthly DSN contributions BS,Human Resources administration,KFR
HRDSNDMV,New table,New table,HRDMV,Monthly DSN payments,Human Resources administration,KFR
HRDSNDMV1,New table,New table,HRDMS,Monthly DSN remunerations,Human Resources administration,KFR
HRDSNDMV2,New table,New table,HRDMD,Monthly DSN allowances,Human Resources administration,KFR
HRDSNDMV3,New table,New table,HRDMA,Monthly DSN activities,Human Resources administration,KFR
HRDSNDMV4,New table,New table,HRDMB,Monthly DSN gross income,Human Resources administration,KFR
HRDSNDMV5,New table,New table,HRDMF,Free shares,Human Resources administration,KFR
HRDSNDMV6,New table,New table,HRDMG,Stock options,Human Resources administration,KFR
HRDSNDMV7,New table,New table,HRDMN,BSPCE,Human Resources administration,KFR
HRDSNDMV8,New table,New table,HRDMP,DSN WHT adjustment,Human Resources administration,KFR
HRDSNEMP,New table,New table,HRDMM,Monthly DSN employees,Human Resources administration,KFR
HRDSNFCY,New table,New table,HRDFY,DSN site,Human Resources administration,KFR
HRDSNFCY2,New table,New table,HRDFV,DSN site welfare,Human Resources administration,KFR
HRDSNFCY3,New table,New table,HRDFA,DSN site former welfare data,Human Resources administration,KFR
HRDSNFCYN,New table,New table,HRNIL,Nil DSN site,Human Resources administration,KFR
HRDSNFEE,New table,New table,HRFEE,Beneficiaries of fees,Human Resources administration,KFR
HRDSNFEED,New table,New table,HRFED,Fee lines,Human Resources administration,KFR
HRDSNIND,New table,New table,HRIND,Affiliated former employee,Human Resources administration,KFR
HRDSNINDBAS,New table,New table,HRINDB,Specific bases,Human Resources administration,KFR
HRDSNINDRIR,New table,New table,HRINDR,WHT adjustments,Human Resources administration,KFR
HRDSNLOG,New table,New table,HRLOG,DSN error table,Human Resources administration,KFR
HRDSNMTH,New table,New table,HRDMH,DSN employees sick leave,Human Resources administration,KFR
HRDSNORA,New table,New table,HRDMW,DSN welfare affiliation,Human Resources administration,KFR
HRDSNPEN,New table,New table,HRDEP,DSN hazardous conditions,Human Resources administration,KFR
HRDSNWST,New table,New table,HRDWS,DSN employees sick leave,Human Resources administration,KFR
HRDSPDCS,New table,New table,HRDSC,DSN charge declaration,Human Resources administration,KFR
HRDSPPEX,New table,New table,HRDSE,DSN extraction setup,Human Resources administration,KFR
HRDSPPRM,New table,New table,HRDSR,DSN setup,Human Resources administration,KFR
HRDSPPRMCNT,New table,New table,HRDCN,DSN setup - Contacts,Human Resources administration,KFR
HRDSPPRMVLU,New table,New table,HRDSV,DSN setup,Human Resources administration,KFR
HREFFTOT,New table,New table,HREFT,Total,Human Resources administration,KMA
HREMPALO,New table,New table,EMPALO,Employee allowance,Common Data,KUK
HREMPDLC,New table,New table,HREDC,Declaration,Human Resources administration,KMA
HREQEEA2,New table,New table,HREEA2,EEA2 Detail,Human Resources administration,FHRPA
HREQEEA4,New table,New table,HREEA4,EEA4 Detail,Human Resources administration,FHRPA
HREQEXCLEMP,New table,New table,HREXCL,Excluded employees,Human Resources administration,FHRPA
HREQNUMDET,New table,New table,HREQDET,Equity numerical goals,Common Data,FKSEQ
HREQNUMGOAL,New table,New table,HREQGOA,Equity numerical goals,Common Data,FKSEQ
HREQUITY,New table,New table,HREQTY,Equity extract,Human Resources administration,FHRPA
HREQUITYTOT,New table,New table,HREQ,Equity info,Common Data,FKSQS
HRESSATT,New table,New table,HRET,Attachments,Common Data,FHRPA
HRESUB,New table,New table,HRESUB,E-submission,Human Resources administration,KUK
HRESUBREG,New table,New table,ESUBREG,E-submission registration,Human Resources administration,FUKPH
HRETIHIS,New table,New table,HRETI,ETI History,Human Resources administration,KZA
HRETIHISOLD,New table,New table,HRETIO,ETI History old,Human Resources administration,KZA
HREXPENSES,New table,New table,HREXS,Cost,Human Resources administration,HRNOF
HREXSKMETRE,New table,New table,HREXK,Mileage expenses,Human Resources administration,HRNOF
HREXTRACT,New table,Modification,HREXT,Extract template,Common Data,FHRPA
HREXTRACTDAT,New table,Modification,HREXD,Source,Common Data,FHRPA
HREXTRACTDEF,New table,Modification,HREXL,Definition,Common Data,FHRPA
HREXTRACTFIL,New table,Modification,HREXF,Filters,Common Data,FHRPA
HREXTRACTGRP,New table,Modification,HREXG,Groups,Common Data,FHRPA
HREXTRACTPAR,New table,Modification,HREXP,Parameters,Common Data,FHRPA
HREXTRACTRES,New table,Modification,HREXR,Results,Common Data,FHRPA
HREXTRACTVAL,New table,Modification,HREXV,Validations,Common Data,FHRPA
HRFACILITYPO,New table,,FCYPO,Sites,Common Data,FPOPH
HRFACILITYSA,New table,,FCYSA,South African site fields,Common Data,FZAPH
HRFILDSN,New table,New table,HRDFS,DSN file structure,Human Resources administration,KFR
HRFILTDS,New table,Modification,HRFTD,DADS-U/DNA file structure,Human Resources administration,KFR
HRFISCALNAT,New table,New table,HRFCN,Fiscal nature,Human Capital management,
HRFRMPAY,New table,New table,HRFRM,Payment slips,Human Resources administration,
HRGRPRUB,New table,New table,HRGRB,Grouping of headings,Human Resources administration,
HRHONLIN,New table,New table,HRHLN,Fee lines,Human Resources administration,KFR
HRHONPRV,New table,New table,HRPRV,Service suppliers,Human Resources administration,KFR
HRINCDLC,New table,New table,HRIDC,Income declaration,Human Resources administration,KMA
HRITAXEXT,New table,New table,HRITAX,Tax extract,Human Resources administration,FHRPA
HRITAXRES,New table,New table,HRITXR,ITax extract results,Human Resources administration,FHRPA
HRKENRPT,New table,New table,HRKNVAL,Temporary print key table,Human Resources administration,FHRPA
HRLDETAILS,New table,New table,HRLDET,Loan details,Human Resources administration,LOA
HRLGENPAY,New table,New table,HRLGPP,Generate loan installment,Human Resources administration,LOA
HRLHEADER,New table,New table,HRLHEA,Loan header,Human Resources administration,LOA
HRLICAUT,New table,,HRLIC,Permits and authorizations,Common Data,FHRPA
HRLOAADDPAY,New table,New table,HRLADP,Additional payments,Human Resources administration,LOA
HRLOAAMO,New table,New table,HRLAMO,Loan (amortization),Human Resources administration,LOA
HRLOAEMPHEA,New table,New table,HRLEHEA,Pay info,Human Resources administration,LOA
HRLOAEMPTOT,New table,New table,HRLETOT,Pay info,Human Resources administration,LOA
HRLOARAT,New table,New table,HRLRAT,Loan standard rates,Human Resources administration,LOA
HRLOARATHEA,New table,New table,HRLRATH,Loan standard rates,Human Resources administration,LOA
HRLOASETHEA,New table,New table,HRLSHEA,Pay info,Human Resources administration,LOA
HRLOASETTOT,New table,New table,HRLSTOT,Pay info,Human Resources administration,LOA
HRLOASUSPEND,New table,New table,HRLSPD,Loan suspension setting,Human Resources administration,LOA
HRLOATYP,New table,New table,HRLTYP,Loan type,Human Resources administration,LOA
HRLREQAMO,New table,New table,HRLLRA,Loan request (amortization),Human Resources administration,LOA
HRLREQDET,New table,New table,HRLLRD,Loan request (details),Human Resources administration,LOA
HRLREQUEST,New table,New table,HRLLR,Loan request,Human Resources administration,LOA
HRLSETTING,New table,New table,HRLSET,Loan setup,Human Resources administration,LOA
HRLSETVAR,New table,New table,HRLSLV,Loan variable setup,Human Resources administration,LOA
HRLSTPMT,New table,New table,HRLOP,Payments,Human Resources administration,KMA
HRLVEACCRU,New table,New table,HRACCR,Leave accrual,Human Resources administration,
HRLVEBAL,New table,New table,HRLBAL,Leave balance,Human Resources administration,GLM
HRLVEBALDET,New table,New table,HRLBALD,Leave balance detail,Human Resources administration,GLM
HRLVERAT,New table,New table,HRPRAT,,Human Resources administration,GLM
HRLVEREA,New table,New table,HRLSE,Leave reason,Human Resources administration,GLM
HRLVESUBDET,New table,New table,HRLSTD,Leave sub type,Human Resources administration,GLM
HRLVESUBHEA,New table,New table,HRLSTH,Leave sub type,Human Resources administration,GLM
HRMEDAPT,New table,,HRMDP,Ability,Common Data,FHRPA
HRMEDTYP,New table,,HRMDT,Visit type,Common Data,FHRPA
HRMGTDSN,New table,New table,HRMDM,DSN data management,Human Resources administration,KFR
HRMISCTAB,New table,New table,HRMISC,Miscellaneous screen,Human Resources administration,FHRPA
HRNATCON,New table,,HRNCT,Nature of contract,Common Data,FHRPA
HRNUMORDDSN,New table,New table,HRDNO,DSN order number,Human Resources administration,KFR
HROIDRPT,New table,New table,HROID,Temporary print key table,Human Resources administration,FHRPA
HRPARVAREXP,New table,New table,HRPVE,Variables to configure,Human Resources administration,HRNOF
HRPASR,New table,New table,HRPASR,WHT adjustments,Human Resources administration,KFR
HRPAYTMP,New table,New table,HRPYE,Payments to be posted,Human Resources administration,
HRPENINDD,New table,New table,HRPID,Individual hazard. cond. record,Common Data,FFRPH
HRPENINDH,New table,New table,HRPIH,Individual hazard. cond. record,Common Data,FFRPH
HRPEODET,New table,New table,HRPEOD,Extraction periods,Human Resources administration,
HRPEOHEA,New table,New table,HRPEOH,Extraction periods,Human Resources administration,
HRPERFORM,New table,New table,HRPERF,Performance,Human Resources administration,PERID
HRPOTPEN,New table,,HRPEN,Position hazardous conditions,Common Data,FFRPH
HRRPLREN,New table,,HRRPL,Replacement reason,Common Data,FHRPA
HRSAEQU,New table,New table,SAEQU,Employment equity,Common Data,
HRSCPCPIO,New table,New table,HRCPC,Strategic skills priority,Human Capital management,FKZSD
HRSCRDSND,New table,New table,HRSDDT,DSN control screens - Detail,Human Resources administration,KFR
HRSCRDSNH,New table,New table,HRSDH,DSN control screens,Human Resources administration,KFR
HRSOCSECINC1,New table,New table,HRSIA,Recording,Human Resources administration,KMA
HRSOCSECINC2,New table,New table,HRSIB,Recording,Human Resources administration,KMA
HRSOCSECSET1,New table,New table,HRSSA,Declaration,Human Resources administration,KMA
HRSOCSECSET2,New table,New table,HRSSB,Recording,Human Resources administration,KMA
HRSOCSECSET3,New table,New table,HRSSC,Recording,Human Resources administration,KMA
HRSOCSECSETS,New table,New table,HRSSS,Recording,Human Resources administration,KMA
HRSOFOCOD,New table,,HROFO,OFO code,Human Capital management,FKZSD
HRSOFOSET,New table,New table,HROFOS,OFO code,Human Capital management,FKZSD
HRSTADCLBEN,New table,New table,HRSDB,Beneficiary,Human Resources administration,KMA
HRSTADCLBSP,New table,New table,HRSBP,Declaration,Human Resources administration,KMA
HRSTADCLDOC,New table,New table,HRSDO,Doctoral student,Human Resources administration,KMA
HRSTADCLSET,New table,New table,HRSDS,Declaration,Human Resources administration,KMA
HRSTADCLTRA,New table,New table,HRSDT,Trainee,Human Resources administration,KMA
HRSTADLM,New table,New table,HRSDM,Statutory exports,Human Resources administration,KMA
HRSTDINDCLS,New table,,HRSIC,Std. industrial classification,Common Data,FZAPH
HRSTRAINPER,New table,New table,HRTPER,Training periods add info,Human Capital management,FKSQS
HRSTRIKE,New table,New table,HRSTRK,Strike,Human Resources administration,KPO
HRSTRIKEDAT,New table,New table,HRSTRD,Strike dates,Human Resources administration,KPO
HRSTRIKEREV,New table,New table,HRSTRV,Claims,Human Resources administration,KPO
HRSYSUSED,New table,New table,HRSUS,System,Common Data,FHRPA
HRTABDSD,New table,New table,HRDSD,DSN code correspondences,Human Resources administration,KFR
HRTABDSH,New table,New table,HRDSH,DSN code correspondences,Human Resources administration,KFR
HRTABEXPENS,New table,New table,HRTES,Expenses codes,Human Resources administration,HRNOF
HRTABFILBAN,New table,New table,HRTFB,Bank file definitions,Human Resources administration,
HRTASSEDICSA,New table,,HRATSSA,Job center certificate,Human Resources administration,KGZA
HRTAXCERT,New table,New table,HRTXCT,SA tax certificates,Human Resources administration,FHRPA
HRTAXCERTDED,New table,New table,HRTXCTD,Deductions,Human Resources administration,FHRPA
HRTAXCERTINC,New table,New table,HRTXCTI,Income received,Human Resources administration,FHRPA
HRTAXCERTSUB,New table,New table,HRTXCTS,Tax withheld,Human Resources administration,FHRPA
HRTAXEXT,New table,New table,HRTAX,Tax extract,Human Resources administration,FHRPA
HRTAXMSG,New table,New table,HRMSG,Tax messages,Human Resources administration,FHRPA
HRTAXRES,New table,New table,HRTXRES,Tax extract results,Human Resources administration,FHRPA
HRTAXVAL,New table,New table,HRTXVAL,Tax extract validation,Human Resources administration,FHRPA
HRTMPDSD,New table,New table,HRTDSD,DSN code correspondences,Human Resources administration,FPAY
HRTOTPAY,New table,New table,HRTPY,Total,Human Resources administration,KMA
HRTRACSTREP,New table,New table,HRTCR,Training cost distribution,Human Capital management,
HRTRADECLASS,New table,,HRTCC,Trade classification,Common Data,FZAPH
HRUKCTRCAR,New table,New table,CTCA,Employee car benefits,Common Data,FUKPH
HRUKCTRPEN,New table,New table,CTRPEN,Employee pension,Common Data,FUKPH
HRUKCTRSTA,New table,New table,CTRSTA,Employee pension status,Common Data,FUKPH
HRVIEWPARAMS,New table,New table,HRVP,View parameters,Common Data,FHRPA
HRXITGRD,New table,Modification,HRXGD,Disposal reason,Common Data,FHRPA
HTMMAITXT,,,HTMMAI,CRM email text,Common Data,
IDADDNA,New table,,IDN,DN-AC employee import,Human Resources administration,
IDADDNA2,New table,,ID2,DNA import bonuses,Human Resources administration,
IDADDNA3,New table,,ID3,DNA import monthly allowances,Human Resources administration,
IDADDNA4,New table,,ID4,DNA import Notice,Human Resources administration,
IDADDNA5,New table,,ID5,DNA import Allowances,Human Resources administration,
IDADDNA6,New table,,ID6,DNA import Working hours,Human Resources administration,
